id_cas;cas_nom_dossier;cas_zone_nom;cas_zone_code;cas_zone_type;cas_AAAA;cas_MM;cas_JJ;cas_resume;cas_resume_web;cas_public;cas_temoignages_nb;cas_temoins_nb;cas_temoins_nb_approx;cas_nb_PAN;cas_nb_PAN_approx;cas_MinCercleInscrit_Lat;cas_MinCercleInscrit_Lng;cas_MinCercleInscrit_Err;cas_date_maj;cas_etrangete;cas_etrangete_err;cas_etrangete_calc;cas_etrangete_calc_err;cas_fiabilite;cas_fiabilite_err;cas_fiabilite_calc;cas_qte_information;cas_qte_information_calc;cas_consistance;cas_consistance_calc;cas_consistance_calc_err;cas_classification;cas_classification_calc;cas_numEtude
747;"VIENNE (38) 14.05.1979";Isere;38;"(D) Departement";1979;05;14;"Le 14 mai 1979 vers 13h plusieurs personnes observent un objet brillant dans le ciel degage et sans vent. L'objet est de forme ovale et de couleur argentee ; il se deplace lentement en oscillant sur une trajectoire Nord Sud et perd progressivement de l'altitude. Semblant tomber derriere une colline, un des temoin part e sa recherche et verra l'objet s'elever rapidement pour disparaetre. Aucun bruit n'a ete entendu par les temoins. Ces personnes ont probablement vu un ballon sans que cette hypothese soit formellement prouvee.";"Observation d'un objet argente descendant lentement et repartant e la verticale";O;5;;;;;;;;2016-12-12;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-05-00623
749;"LYON (69) 1979";Isere;38;"(D) Departement";1979;05;25;"Le 25 mai 1979 e 1h 10 du matin deux fonctionnaires de police en service apereoivent dans le ciel un phenomene lumineux qui se deplace et qui les intrigue. A  faible altitude quatre lumieres de forme ovale et d'un ton blanc-jaune passent progressivement au-dessus d'eux puis prennent une autre direction. Il leur est impossible de dire si les lumieres appartiennent e un seul objet  ou constituent des phenomenes autonomes. Un leger ronflement est entendu avant que le phenomene ne disparaisse en direction du Sud-Est cache par le paysage. Aucune interference ne sera remarquee sur leur equipement de bord. La description faite par les temoins et la proximite de plusieurs aerodromes ( outre Lyon-Satolas) permet de penser avec une bonne probabilite que les deux fonctionnaires de police ont ete temoins d'un avion en phase d'approche.";"Observation probable d'un avion en phase d'approche.";O;2;;;;;;;;2008-07-02;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-05-00625
750;"[MER] LAT -1.22, LON -81.12 (EC.M) 26.05.1979";Maritime;EC.M;"(D) Departement";1979;05;26;"Le 26 mai 1979 e 2h30 locale, deux temoins en quart sur un cargo observent durant 2 e 3 minutes un groupe de quatre echos radar juxtaposes formant un gros echo aux contours nets observe sur un radar V 22. La nature de l'echo ne correspond pas e un brouillage meteo ni e une reflexion multiple des coques. Le batiment fait route dans l'ocean Pacifique au Nord du Chimborazo, volcan d'Equateur .";"echos radar non identifies";O;1;;;;;;;;2010-04-01;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-05-00626
751;"MERFY (51) 29.05.1979";Marne;51;"(D) Departement";1979;05;29;"Le 29 mai 1979 vers 23h 30 un automobiliste circulant sur une petite route de campagne est surpris de voir un objet en forme de croissant de lune orange vif venant dans sa direction. Cet objet e faible altitude semble suivre l'automobiliste tout au long de son deplacement vers le Nord-Ouest. Aucun bruit n'est entendu. L'objet sera perdu de vue.  Le lendemain, le  temoin retournera au meme endroit et constatera la presence du meme objet mais de couleur blanche. Celui-ci disparaitra derriere les bois en direction du Nord-Ouest. La carte du ciel ce soir le nous indique la presence e basse altitude et au Nord -Ouest de la Lune avec une magnitude de -8,91  : cette personne a  fait une observation astronomique de la Lune. L'impression de mouvement de celle-ci quand on se deplace est bien connu.";"Observation de la lune.";O;1;;;;;;;;2008-07-02;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-05-00627
752;"AVIZE (51) 1979";Marne;51;"(D) Departement";1979;05;30;"Le 30 mai 1979 deux personnes observent dans le ciel et durant 20 minutes un phenomene particulier. Un objet de la forme d'un ballon de rugby applati traverse le ciel sans le sens Sud-Est Nord-Ouest. Les temoins remarquent une trainee orange vif plus ou moins longue e la suite de l'objet qui se situe e environ 500m d'altitude. Un des deux temoin, eleve pilote, ne reconnaet pas le un aeronef. Aucun autre temoignage n'a ete recueilli sur ce phenomene pour lequel nous manquons d'informations comme l'heure d'observation.";"Observation d'un objet plat laissant s'echapper une traenee orange vif.";O;2;;;;;;;;2008-06-19;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-05-00628
753;"GENTILLY (94) 1979";Val-de-Marne;94;"(D) Departement";1979;05;31;"Le 31 mai 1979 e 0h 40 deux personnes vont observer un phenomene lumineux au plein Ouest dans le ciel. Durant plusieurs minutes, un objet volumineux en forme de croissant et de couleur orange. Un autre objet est egalement apparu quelques instants.  La carte du ciel ce matin le indique plein Ouest la presence de Jupiter (magnitude -1,49), Pollux (magnitude 0,98) et un coucher de la Lune (magnitude-9,51). Ces personnes ont  fait une observation astronomique de cet ensemble.";"Observation  d'un coucher de lune avec une conjonction de planetes.";O;2;;;;;;;;2008-07-02;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-05-00629
754;"LE CHATELARD (73) 1979";Savoie;73;"(D) Departement";1979;05;15;"Le 15 mai 1979 entre 14h 15 et 14h 45 plusieurs personnes dans des champs apereoivent un objet au sol puis s'envolant lentement horizontalement. De forme spherique et de couleur metallique il se deplace en oscillant tout en suivant les formes du terrain et prend de la vitesse en se deplaeant verticalement. Certains temoins pourront le voir durant 30 minutes environ avant qu'il ne disparaisse progressivement.  Aucune information sur un eventuel leche de ballon sonde dans le secteur n'a ete recueillie mais d'apres les descriptions donnees, ces personnes ont probablement vu un ballon.";"Observation d'un objet de couleur metal se deplaeant e environ 20 metres du sol.";O;5;;;;;;;;2008-06-18;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-05-01720
756;"ARGILLY (21) 03.06.1979";Cete-d'Or;21;"(D) Departement";1979;06;03;"Le 3 juin 1979 vers 23h 30 une automobiliste observe dans son retroviseur une boule lumineuse orangee qui semble la suivre jusqu'e une agglomeration oe apeuree elle klaxonne pour avertir les habitants. Une personne sortira de chez elle mais refusera d'aller voir cette boule. Reprennant sa route, elle verra l'objet jusqu'e chez elle. Le temoin ressent des effets physiques et le tableau de bord  s'eteint. Cet objet ne fait aucun bruit et se situe e basse altitude dans le Nord Nord-Ouest. Elle ne croisera aucun vehicule et aucun autre temoignage ne sera recueilli sur ce phenomene. Malgre le manque d'informations, la carte du ciel ce soir le nous indique la presence de Jupiter paticulierement visible ( magnitude -1,47 ), de Pollux (magnitude 0,98) et de Capella . L'hypothese d'une observation astronomique est probable mais ne peut etre confirmee. Le temoin a subi une frayeur importante qui explique probablement son comportement et les effets ressentis.";"Observation d'une boule lumineuse suivant le temoin.";O;1;;;;;;;;2008-07-02;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-06-00630
757;"BOURGNEUF EN RETZ (44) 1979";Loire-Atlantique;44;"(D) Departement";1979;06;08;"Le vendredi 8 juin 1979 entre 13h et 13h 05, plusieurs personnes ont vu un phenomene  particulier au-dessus de la baie. Ils ont apereu en premier une fumee verticale qui s'est progressivement dissipee. Quelques minutes plus tard, un objet de forme spherique et de couleur rouge feu a traverse le ciel selon une trajectoire rectiligne en direction du Sud-Ouest avec une courbe descendante. D'allure assez lente cet objet etait suivi d'une fumee blanche ou grisetre. Les observations ont dure quelques secondes sans qu'aucun bruit ne soit entendu. L'enquete de gendarmerie aupres de la marine a permis de savoir que des essais de fusees de detresse et eclairantes ont ete realises. Cependant les informations fournies sont trop imprecises pour valider cette hypothese.";"Observation d'une boule rouge avec fumee";O;6;;;;;;;;2008-07-02;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-06-00631
758;"CHALLAIN-LA-POTHERIE (49) 10.06.1979";Maine-et-Loire;49;"(D) Departement";1979;06;10;"Le 10 juin 1979 entre 3h 30 et 4h du matin et apres un episode orageux, un temoin apereoit par une fenetre , un phenomene lumineux qui l'intrigue. Il voit dans la direction du Sud-Ouest, une lumiere puissante qui se trouve au-dessus de l'horizon. Celle-ci se deplace lentement horizontalement avec parfois des allers et retours verticaux. Selon la position de la lumiere, le temoin apereoit des cercles lumineux. Une seconde lumiere clignotante et venant du Nord apparait passant au-dessus de la premiere. Elle disparait rapidement dans la direction du Sud. A 4h du matin la lumiere etant encore presente, le temoin est parti se coucher. Aucun bruit n'a ete entendu et aucun autre temoignage ne sera recueilli sur ce phenomene pour lequel nous manquons d'informations.";"Observation au-dessus de l'horizon du lent deplacement d'un phenomene lumineux puis d'un autre phenomene lumineux clignotant avec une trajectoire ascendante : manque d'informations.";O;1;;;;;;;;2016-09-20;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-06-00632
759;"SOULAINES DHUYS (10) 1979";Aube;10;"(D) Departement";1979;06;15;"Le 15 juin 1979 vers 23h plusieurs personnes vont apercevoir sur l'horizon une lueur de couleur orange qui les intrigue. Cette lueur dans le Nord-Ouest semble constituee de plusieurs points lumineux. L'observation va durer une dizaine de minutes avant que tout ne s'eteigne. Ce soir le un exercice d'entrainement de tirs sol-air a eu lieu dans le camp militaire voisin situe au N-O de la position des temoins entre 23h et 23h 30. Ces personnes ont ete temoins des lueurs dees e ces tirs.";"Observation de lueurs e l'horizon dees e des tirs militaires.";O;8;;;;;;;;2008-07-02;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-06-00633
760;"[MER] LAT 38.02, LON 17.41 (INT) 21.06.1979";Maritime;INT;"(D) Departement";1979;06;21;"Le 21 juin 1979 e 22h 25 locale plusieurs marins d'un betiment de la marine nationale en Mer Ionienne (lat 38e02N et long 17e41E) apereoivent un phenomene lumineux e 15e au-dessus de l'horizon. Un point lumineux grossissant se separe soudain en trois parties lumineuses dont l'intensite diminue progressivement. Les couleurs passent du blanc e l'orange pour redevenir blanc. La trajectoire observee est S-O Est. Le phenomene se deplaeant e grande vitesse a ete observe durant une minute. Ces personnes ont probablement ete temoins d'une rentree atmospherique.";"observation d'un rentree atmospherique.";O;1;;;;;;;;2009-08-12;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-06-00634
761;"SAINT-FLORENT (45) 30.06.1979";Loiret;45;"(D) Departement";1979;06;30;"Le GEIPAN continue e publier l'ensemble de ses archives sur son site public www.geipan.fr. Dans ses publications, figurent des cas anciens classes e l'epoque en cas de type e A e et qui font aujourd'hui l'objet d'un reexamen. Celui-ci n'a pas pour but de diminuer ou augmenter telle ou telle categorie de classement mais d'etre plus pertinent dans les conclusions. Grece e de nouveaux moyens techniques (logiciels) et e l'experience d'enquete acquise depuis toutes ces dernieres annees, ce reexamen aboutit quelquefois e de nouvelles remarques voire e un changement de classification explicite dans une note d'enquete. Ce cas d'observation fait partie de cas classes e A e en 1979 par le GEPAN, sous le nom de COULLONS (45) 10.06.1979.<br>  Le 30 juin 1979 vers 0h30 quatre personnes dans un vehicule circulent sur la D 54 entre Saint-Florent (45) et Villemurlin (45) (voir la note d'enquete). Arrives au chemin vers le lieu-dit Pierrefitte, ils apereoivent au loin un phenomene de couleur rouge qui semble descendre du ciel au niveau de la route. La forme decrite varie selon les temoins (en forme de banane avec les pointes vers le ciel ou en forme de goutte). La voiture arretee, ils observent le PAN : aucun bruit n'est entendu, aucun signal lumineux intermitent sur le PAN ne sont remarques. Les temoins voient alors le Pan se deplacer lentement. Apeures, ils decident de faire demi-tour pour repartir vers Coullons afin d'avertir la gendarmerie. Un des temoins verra le PAN disparaitre derriere les arbres bordant la route. Reeus par les gendarmes e 0h55 ces derniers partent immediatement e l'endroit indique sans les temoins.<br> Les premieres constations la nuit meme e 1h20 ne permettent pas de trouver de traces. Le lendemain, les gendarmes en compagnie des temoins retournent sur les lieux presumes du PAN et decouvrent un foyer d'un diametre de 1,60m. Les cendres sont encore chaudes. Aucune autre trace sur le sol ou dans la vegetation et aucun autre temoignage ne sera recueilli. L'enquete  demontrera que l'avant-veille (le 28 juin) des agriculteurs ont allume un feu de broussailles. Les gendarmes emettent l'hypothese que les temoins ont certainement apereu un tourbillon d'escarbilles provenant du feu de broussailles ce qui expliquerait la forme en poire ou goutte du phenomene ainsi que sa couleur rouge.<br> Malgre une concordance de lieux entre la position apparente du lieu du PAN et l'emplacement du foyer du feu de broussaille, l'hypothese d'une meprise avec ce dernier convient mal avec l'observation du PAN. Aujourd'hui l'hypothese envisageable d'une meprise avec la Lune est confortee non seulement par le fait que la Lune etait en train de se coucher, ce qui est parfaitement coherent avec la couleur rouge du PAN, mais egalement par le fait que son azimut (281e) correspond parfaitement e celui de l'axe de la D54. De plus, l'aspect visuel de la Lune au coucher est parfaitement coherent avec celui du PAN tel que decrit par les temoins, le croissant lunaire etant pose sur l'horizon. Bien que les temoins ne mentionnent pas la presence de la Lune, elle etait visible dans l'axe qu'ils indiquent. La parfaite coherence entre la position vraie de la Lune, sa localisation et les descriptions fournies par les temoins ne laisse pas de doute sur la meprise. Ce n'est pas la perception visuelle des temoins qui est en cause, mais l'interpretation que les temoins font de leur observation e travers leur ressenti (fatigue, conduite, peur).<br> Le GEIPAN classe ce cas A : meprise avec la Lune au coucher.";"Observations lointaines d'un phenomene rouge en deplacement lent : meprise de la Lune au coucher.";O;4;;;;;;;;2015-09-29;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-06-00635
762;"SALON DE PROVENCE (13) 1979";Bouches-du-Rhene;13;"(D) Departement";1979;06;30;"Le 30 juin  1979 vers 23h 30 des automobilistes circulent sur une departementale lorsqu'ils apereoivent une lueur lumineuse dans le ciel. Un point lumineux d'abord fixe se deplace progressivement en se rapporchant des temoins. Deux feux rouge et vert de chaque cote du point clignotent alternativement. Un bruit de souffle est entendu lors du passage au-dessus des temoins apeures et une forme triangulaire est apereue. L'engin s'eloigne rapidement vers le Sud. Ces informations correspondent  aux descriptions  de nuit de  vols d'aeronefs (bruit, geometrie et couleur des feux). Ces temoins ont probablement observe le passage d'un avion.";"Observation probable du passage d'un aeronef.";O;2;;;;;;;;2008-07-02;;;0.25;0.13;;;;;;;0.59;0.41;B;B;1979-07-00636
763;"RUEIL-MALMAISON (92) 03.06.1979";Hauts-de-Seine;92;"(D) Departement";1979;06;03;"Le 3 juin 1979 e 17h 45 un temoin observe durant 7 e 8 minutes un objet etrange qui se deplace du Nord au Sud dans le ciel. Cet objet de forme triangulaire est de couleur rouge. Aucun bruit et aucune trainee n'ont ete constates par le temoin. Aucun autre temoignage n'a ete recueilli sur ce phenomene pour lequel nous manquons d'informations.";"Observation d'un objet de forme triangulaire se deplaeant lentement";O;1;;;;;;;;2008-06-19;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1979-06-01719
765;"FOIX (09) 04.07.1979";Ariege;09;"(D) Departement";1979;07;04;"Ce cas d'observation fait partie des cas classe ""C"" en 2008 par le GEIPAN : il a fait l'objet d'un nouvel examen. (voir le document : Notes d'enquete).<br>  Le 4 juillet 1979 e 2h du matin une personne rentrant chez elle apereoit une grosse masse de couleur rouge orange de la forme d'un obus. Le temoin apeure rentre chez lui et observe le phenomene durant 2 minutes : aucun bruit n'est entendu. Cette masse disparaitra dans le paysage.<br> Aucun autre temoignage ne sera recueilli sur ce phenomene.<br> Le phenomene decrit presente beaucoup de caracteristiques communes (duree d'observation, forme, taille, couleur) avec un objet astronomique parfaitement connu : la Lune au coucher. De plus, la Lune etait bien presente sur la zone du ciel observee.<br> Ce n'est pas la perception visuelle du temoin qui est en cause, mais l'interpretation que le temoin fait de son observation e travers son ressenti (fatigue, peur). Dans la classification actuelle du GEIPAN, ce cas d'etrangete faible est classe comme PAN A, observation liee avec une meprise avec la Lune.";"Observation d'une masse rouge orange dans le ciel : observation astronomique de la Lune e son coucher.";O;1;;;;;;;;2013-06-26;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-07-00637
766;"CHOLET (49) 10.07.1979";Maine-et-Loire;49;"(D) Departement";1979;07;10;"Le 10 juillet vers 3h du matin un temoin observe par sa fenetre une masse lumineuse qui se deplace en diagonale du Nord vers l'Est. De forme ronde ou ovoede et de couleur jaune, cet objet sera observe durant 10 e 15 minutes avant de disparaetre. Aucun bruit n' a ete entendu. Cette personne a probablement observe le passage d'un satellite de type Transit ou Oscar et non Skylab qui n'etait plus visible en France depuis fin juin.";"Probable observation d'un satellite.";O;1;;;;;;;;2008-06-26;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-07-00638
767;"FREJUS (83) 13.07.1979";Var;83;"(D) Departement";1979;07;13;"Le GEIPAN continue e publier l'ensemble de ses archives sur son site public www.geipan.fr. Dans ses publications, figurent des cas anciens classes e l'epoque (A, B, C ou D) et qui font aujourd'hui l'objet d'un reexamen, dans le seul but d'etre plus pertinent dans les conclusions. Grece e de nouveaux moyens techniques (logiciels) et e l'experience d'enquete acquise depuis toutes ces dernieres annees, ce reexamen aboutit quelquefois e de nouvelles remarques voire e un changement de classification.<br>
Ce cas d'observation precedemment classe D et nomme SAINT-RAPHAEL (83) 1979 fait partie d'un ensemble de cas reexamines recemment (voir le compte rendu d'enquete).<br>

Le 13 juillet 1979 e 13h10 deux temoins (T1 et T2) travaillant e la vigie du mont Vinaigre dans le massif de l'Esterel sur la commune de Frejus (83) sont intrigues par les evolutions d'un objet spherique tres lumineux dans le paysage. Lors de leurs depositions en gendarmerie, un croquis est etabli et montre les deplacements successifs de cet objet (voir le PV de gendarmerie). Le T2 utilise des jumelles et decrit un objet qui descend e la verticale d'un nuage, descend de la colline par saccades, passe d'une colline e l'autre, faits des arrets, et enfin remonte et disparaet dans un nuage. Aucun autre temoignage ne sera recueilli. Les services radars contactes par la gendarmerie n'ont rien detecte.<br>

Les conditions meteorologiques au jour et e l'heure de l'observation sont un facteur cle nous permettant de comprendre et d'expliquer les deplacements complexes du PAN, qui formaient l'essentiel de l'etrangete du cas.<br>
Ces conditions, e savoir un vent maximal observe de 34 nuds avec un ecoulement de l'air turbulent dans la zone, se sont produites dans une zone au relief accidente. Or, il suffit d'un vent minimal de 10 e 15 nuds pour qu'un ballon plus leger que l'air, comme par exemple un modele en nylon metallise (souvent nomme e ballon Mylar e), suive un deplacement irregulier horizontalement et verticalement. L'impossibilite (pour tout temoin) de percevoir correctement la distance d'un phenomene inconnu, peut conduire e surevaluer les distances et donc les vitesses de deplacements e partir des deplacements angulaires (les seuls reellement pereus par les yeux), et ainsi e accroitre l'etrangete du pereu (saut rapide d'une colline e une autre, arret intelligent au-dessus de la nationale.)<br> 

Ces ballons Mylar, peuvent etre gonfles e l'air mais le plus souvent e l'helium et peuvent alors voler entre deux semaines et deux mois, transportes au gre des vents locaux.<br>

De tels ballons existent depuis la fin des annees 70 et sont souvent de forme circulaire ou ovoede, parfois agrementes d'un dessin fantaisie.<br> 

La visibilite de ce type de ballon est favorisee par leur enveloppe aluminee qui reflechit fortement la lumiere solaire, leur forme n'etant vraiment discernable qu'e une plus courte distance.<br>
Par ailleurs, cette forte reflexion de la lumiere solaire couplee e la distance d'observation ne permet pas de distinguer ni l'eventuel dessin fantaisie ni l'appendice permettant le gonflage.<br>

En consequence GEIPAN classe le cas en B : observation probable d'un ballon Mylar.";"Observations des evolutions silencieuses dans le paysage montagneux de l'Esterel d'un objet spherique tres lumineux : probable observation d'un ballon Mylar.";O;2;2;;1;;;;;2018-05-29;;;0.40;0.00;;;0.75;;0.75;;0.56;0.00;B;B;1979-07-00639
768;"BEAUVAIS (60)1979";Oise;60;"(D) Departement";1979;07;14;"Le 14 juillet 1979 entre 21h50 et 21h 55, deux temoins apereoivent dans le ciel e une altitude de 100 e 150 m, un objet arondi de la forme d'un chaudron et de couleur inox ou aluminium. Sa trajectoire horizontale est NE-SO et il se deplace en oscillant regulierement et sans bruit. Des reflets apparaissent lors du deplacement. Aucun autre temoignage n'a ete recueilli sur ce phenomene. D'apres la description et e la date du 14 juillet beaucoup d'objets insolites se deplacent e basse altitude : ces temoins ont probablement vu le passage d'un cerf volant.";"observation d'un objet insolite de type cerf volant";O;2;;;;;;;;2008-06-30;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-07-00640
769;"POULIGUEN (LE) (44) 16.07.1979";Loire-Atlantique;44;"(D) Departement";1979;07;16;"Le GEIPAN continue e publier l'ensemble de ses archives sur son site public www.geipan.fr. Dans ses publications, figurent des cas anciens classes e l'epoque (A, B, C ou D) et qui font aujourd'hui l'objet d'un reexamen, dans le seul but d'etre plus pertinent dans les conclusions. Grece e de nouveaux moyens techniques (logiciels) et e l'experience d'enquete acquise depuis toutes ces dernieres annees, ce reexamen aboutit quelquefois e de nouvelles remarques voire e un changement de classification.<br>
Ce cas d'observation precedemment classe D et nomme LA BAULE (44) 1979 fait partie d'un ensemble de cas reexamines recemment.<br>
Deux personnes (T1 et T2) observent, depuis leur domicile, un phenomene lumineux avec un halo aux couleurs rouge-orange et jaune dans le ciel nocturne au-dessus de Pornichet. Ce phenomene de tres grande taille est pereu fixe puis se deplaeant ensuite en direction de Saint-Nazaire; le halo disparaet progressivement. Aucun autre temoignage ne sera recueilli malgre des avis passes par la gendarmerie dans la presse et sur les ondes.<br>

Les deux temoins ont tres probablement observe la Lune. La Lune (El 4,6e, Az 90,5) est effectivement presente tres basse au-dessus de Pornichet, vu de la pointe de Penchateau.<br>
Toutes les descriptions sont conformes e une meprise avec la Lune se levant e l'horizon :<br>
- formes : des nuages sont presents cette nuit le, une presence partielle et variable (trouee) de nuages devant la Lune, peut la faire apparaetre selon tous types de formes. La mention de halo est egalement conforme e l'effet de diffusion de la lumiere de la Lune par les brumes et nuages au voisinage de la trouee. T2 distingue bien une forme centrale plutet bien delimitee (la trouee) au sein d'un halo.T2 rapporte "" Effectivement, j'ai observe durant une minute environ, un ovni, ayant la forme d'un deme, se detachant nettement d'un halo de couleur rouge"" ;<br>
- couleurs : selon l'epaisseur de brume ou de nuage, la couleur peut effectivement varier du rouge ou ""jaune violent"" ;<br> 
- taille : la Lune avec le halo l'entourant peuvent effectivement correspondre e la largeur de Pornichet vu de la Pointe de Penchateau (3 ou 5 degres), comme le mentionne T2.<br> 
- perception de deplacement : celle-ci vient en fin d'observation, le PAN etant decrit comme fixe jusque le. T1 mentionne un deplacement vers Saint-Nazaire. Il s'agit de l'illusion classique produite par la diminution de la taille angulaire et/ou de la luminosite d'un PAN (ici la fermeture progressive de la trouee nuageuse sur la Lune), le temoin l'interprete tres logiquement comme un eloignement en distance. La geographie des lieux autorise parfaitement de decrire un eloignement de distance au-dele de Pornichet, vu de la pointe de Penchateau, comme un deplacement vers Saint-Nazaire.<br> 
T2 fait d'ailleurs une description tres precise de ce phenomene de deplacement apparent : ""Lorsque j'ai vu cet ovni se mouvoir, il s'est deplace progressivement d'une vitesse assez reguliere au depart, puis plus vite par la suite, mais toujours avec la meme progression. Il n'a pas disparu d'un coup. J'ai toujours vu ce halo qui diminuait au fur et e mesure que l'ovni s'eloignait"".<br> 

Notons l'etonnement de T2 :  ""Ce qui m'a le plus frappe, c'est que ce halo ne s'est pas reflechi soit sur l'eau, soit dans le ciel"". T2 imagine le PAN au Pornichet, donc  juste sur l'autre rive de la baie par rapport au point d'observation. Il est logique de rechercher un effet miroir (reflexion speculaire) sur l'eau e un point milieu entre le PAN et T2. Mais la Lune, comme les nuages diffusant sa lumiere, sont bien plus loin. La reflexion sur l'eau, ne peut pas etre speculaire mais uniquement par effet de diffusion, qui est bien moins intense et fonction de la rugosite de surface de l'eau (hauteur et orientation des vaguelettes) probablement pas assez forte ce soir le.<br>
En consequence le GEIPAN reclasse le cas en A : observation de la Lune rousse.";"Observations par deux temoins d'un phenomene lumineux de grande taille aux couleurs rouge-orange et jaune dans le ciel nocturne : observations de la Lune rousse.";O;2;2;;1;;;;;2018-07-19;;;0.10;0.00;;;0.70;;0.80;;0.55;0.00;A;A;1979-07-00641
770;"LA GARENNE-COLOMBES (92) 1979";Hauts-de-Seine;92;"(D) Departement";1979;07;16;"Dans la nuit du 18 au 19 juilllet 1979, plusieurs habitants d'un meme quartier entendent entre 21h 30 et 0h 15 des bruits stridents et courts. Ces personnes effrayees voient ensuite des lueurs particulieres dans le ciel. Ce meme phenomene recommencera le soir du 20 juillet. L'enquete de gendarmerie permettra d'etablir que ces phenomenes proviennent de tirs de fusees sifflantes lancees par jeu et sans autorisation depuis le jardin d'un pavillon voisin.";"Tirs de pieces d'artifice sans autorisation.";O;8;;;;;;;;2008-07-29;;;0.13;0.13;;;;;;;0.53;0.48;A;A;1979-07-00642
771;"ANNECY (74) 1979";Haute-Savoie;74;"(D) Departement";1979;07;20;"Le 20 juillet 1979 vers 10h plusieurs personnes observent dans le ciel et durant une vingtaine de minutes une forme brillante particuliere. Selon l'emplacement des temoins cet objet ovoede mesure entre 80cm et 5m de diametre et  prend une couleur metallique ou noire. Il est tout d'abord stationnaire au-dessus d'une maison puis s'eleve et s'eloigne progressivement sans aucun bruit. D'apres la gendarmerie  aucune observation particuliere n'a ete declaree depuis les aerodromes ou bases de la region et aucun vol d'objet publicitaire n'a ete fait dans cette periode. La description de l'objet et de son deplacement par les temoins restent neanmoins tres proche de celle d'un ballon.";"Observation d'un objet rond, descendant et montant lentement.";O;4;;;;;;;;2008-07-29;;;0.38;0.13;;;;;;;0.65;0.35;B;B;1979-07-00643
