id_cas;cas_numEtude;id_temoignage;tem_new;tem_chrono;obs_chrono;tem_nom_dossier;tem_title_nickname;tem_title_type;tem_resume;tem_Gi;tem_Ti;tem_Ti_type;tem_TComi;tem_age;tem_genre;tem_adr_commune;tem_adr_CP;tem_adr_dpt;tem_adr_pays;tem_xp_formation_niveau_type;tem_xp_activite_type;tem_xp_aero;tem_xp_aero_niveau;tem_xp_astro;tem_xp_astro_niveau;tem_xp_topo;tem_xp_topo_niveau;tem_xp_UFO;tem_xp_UFO_niveau;tem_obs_moyen;tem_emotions_lib;tem_activite_lib;tem_avis_interpretation_lib;tem_avis_interet_lib;tem_avis_change_lib;tem_avis_science_lib;tem_experience_change_lib;tem_photos_retouchees;tem_plans;tem_croquis;tem_public;tem_GD;tem_A;tem_PVi;tem_numSEPRA;tem_catno;id_temoignage_old;nom_temoignage_old;id_observation;obs_nb;obs_description;obs_commune_or_trajet;obs_tem_dep;obs_tem_dep_label;obs_tem_dep_vitesse;obs_AAAA;obs_MM;obs_JJ;obs_date_heure;obs_heure_plage;obs_heure_deb;obs_heure_fin;obs_heure;obs_heure_delta;obs_heure_tranche_horaire;obs_heure_approx;obs_duree_hms;obs_duree_lib;obs_duree_type;obs_1_adr_commune;obs_1_adr_CP;obs_1_adr_dpt;obs_1_adr_pays;obs_1_adr_commune_2;obs_1_adr_CP_2;obs_1_adr_dpt_2;obs_1_adr_pays_2;obs_1_cadre_reference;obs_1_cadre_reference_type;obs_1_lat;obs_1_lon;obs_1_pos_err;obs_1_env_sol;obs_1_env_sol_type;obs_1_env_relief_type;obs_conditions_tem_activite;obs_1_heure;obs_1_duree_type;obs_1_azimut;obs_1_azimut_lib;obs_1_elevation;obs_1_elevation_lib;obs_1_dist_lib;obs_1_dist_approx_type;obs_1_alt;obs_1_alt_lib;obs_1_cap;obs_1_cap_lib;obs_1_trajectoire_types;obs_1_trajectoire_lib;obs_1_dynamique_types;obs_1_vitesse_ang;obs_1_vitesse_lib;obs_1_vitesse_types;obs_1_taille_apparente_lib;obs_1_taille_apparente_type;obs_1_taille_apparente_abs;obs_1_env_odeurs_types;obs_1_tem_reaction_types;obs_conditions_apparition;obs_conditions_apparition_txt;obs_conditions_obs_direct;obs_conditions_obs_indirect;obs_conditions_env_bruit;obs_conditions_tem_activite_lib;obs_conditions_meteo;obs_conditions_meteo_lib;obs_conditions_astro;obs_conditions_astro_lib;obs_conditions_emotions;obs_1_forme_lib;obs_1_forme_types;obs_1_PAN_nature;obs_1_PAN_nature_type;obs_1_caracteristiques_types;obs_1_couleur_lib;obs_1_couleur_types;obs_1_luminosite_lib;obs_1_luminosite_types;obs_1_halo_lib;obs_1_bruit_lib;obs_1_bruit_nature_types;obs_1_bruit_intensite_types;obs_1_PAN_taille;obs_1_PAN_altitude;obs_1_distance_abs;obs_1_PAN_pos_lat;obs_1_PAN_pos_lon;obs_1_PAN_pos_approx;obs_2_cadre_reference;obs_2_cadre_reference_type;obs_2_lat;obs_2_alt;obs_2_lon;obs_2_pos_err;obs_2_env_sol;obs_2_env_sol_type;obs_2_env_relief_type;obs_2_heure;obs_2_duree_type;obs_2_azimut;obs_2_azimut_lib;obs_2_elevation;obs_2_elevation_lib;obs_2_dist_lib;obs_2_dist_approx_type;obs_2_alt_lib;obs_2_cap;obs_2_cap_lib;obs_2_trajectoire_types;obs_2_trajectoire_lib;obs_2_dynamique_types;obs_2_vitesse_ang;obs_2_vitesse_lib;obs_2_vitesse_types;obs_2_taille_apparente_lib;obs_2_taille_apparente_type;obs_2_taille_apparente_abs;obs_2_env_odeurs_types;obs_2_tem_reaction_types;obs_2_forme_lib;obs_2_forme_types;obs_2_PAN_nature;obs_2_PAN_nature_type;obs_2_caracteristiques_types;obs_2_couleur_lib;obs_2_couleur_types;obs_2_luminosite_lib;obs_2_luminosite_types;obs_2_halo_lib;obs_2_bruit_lib;obs_2_bruit_nature_types;obs_2_bruit_intensite_types;obs_2_PAN_taille;obs_2_PAN_altitude;obs_2_distance_abs;obs_2_PAN_pos_lat;obs_2_PAN_pos_lon;obs_2_PAN_pos_approx;obs_3_adr_bat;obs_3_adr_num_voie;obs_3_adr_type_voie;obs_3_adr_nom_voie;obs_3_adr_commune;obs_3_adr_CP;obs_3_adr_dpt;obs_3_adr_pays;obs_3_adr_lieu;obs_3_cadre_reference;obs_3_cadre_reference_type;obs_3_lat;obs_3_alt;obs_3_lon;obs_3_pos_err;obs_3_env_sol;obs_3_env_sol_type;obs_3_env_relief_type;obs_3_heure;obs_3_duree_type;obs_3_azimut;obs_3_azimut_lib;obs_3_elevation;obs_3_elevation_lib;obs_3_dist_lib;obs_3_dist_approx_type;obs_3_alt_lib;obs_3_cap;obs_3_cap_lib;obs_3_trajectoire_types;obs_3_trajectoire_lib;obs_3_dynamique_types;obs_3_vitesse_ang;obs_3_vitesse_lib;obs_3_vitesse_types;obs_3_taille_apparente_lib;obs_3_taille_apparente_type;obs_3_taille_apparente_abs;obs_3_env_odeurs_types;obs_3_tem_reaction_types;obs_conditions_disparition;obs_conditions_disparition_txt;obs_3_forme_lib;obs_3_forme_types;obs_3_PAN_nature;obs_3_PAN_nature_type;obs_3_caracteristiques_types;obs_3_couleur_lib;obs_3_couleur_types;obs_3_luminosite_lib;obs_3_luminosite_types;obs_3_halo_lib;obs_3_bruit_lib;obs_3_bruit_nature_types;obs_3_bruit_intensite_types;obs_3_PAN_taille;obs_3_distance_abs;obs_3_PAN_altitude;obs_3_PAN_pos_lat;obs_3_PAN_pos_lon;obs_3_PAN_pos_approx;obs_incli;obs_incli_lib;obs_deg_parcouru;obs_nb_PAN;obs_nb_PAN_lib;obs_formation;obs_formation_type;obs_caracteristiques;obs_continuite;obs_continuite_type;obs_PAN_calculs;obs_envt_equipements_actifs
448;1976-12-00375;1445;0;;1976.12.06;"BEAUREGARD-DE-TERRASSON (24) 24.12.1976 T1";;;;;1;T;1;"10 - 19 ans";H;;;;;;"82. Inactifs divers (autres que retraites)";;;;;;;;;;;;;;;;;;;;O;4494;;1;1976309125;76300248;;;1391;1;;1;;;;1976;12;24;"1976-12-24 19:15:00";19:15;;;19:15:00;0;;;;;;BEAUREGARD-DE-TERRASSON;24120;24;;;;;;;Ciel;45.1;1.2;0.0;;"Territoires artificialises - Zones urbanisees";;;;;135.00;;;;;;255;;0.00;;"Lineaire ou Rectiligne";oscillations;;;;"Variable (acceleration, deceleration, etc.) (valeur conservee pour compatibilite: utiliser la nature de la trajectoire)";pamplemousse;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objets multiples";;Blanc;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;Autre;;;;;;;;;;;;;;;;;"Orange, feu";;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;"Observation en continu";;
448;1976-12-00375;1446;0;;1976.12.07;"BEAUREGARD-DE-TERRASSON (24) 24.12.1976 T2";;;;;2;T;2;"10 - 19 ans";F;;;;;;"82. Inactifs divers (autres que retraites)";;;;;;;;;;;;;;;;;;;;O;4495;;2;1976309125;76300248;;;1392;1;;1;;;;1976;12;24;"1976-12-24 19:30:00";19:30;;;19:30:00;0;;;;;;BEAUREGARD-DE-TERRASSON;24120;24;;;;;;;Ciel;45.1;1.2;0.0;;"Territoires artificialises - Zones urbanisees";;;;;;"NON PRECISE";;;;;255;;0.00;;"Lineaire ou Rectiligne";;;;;Rapide;;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;;;" Phenomene";"Objet unique";;"Jaune, Ambre";;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;" Objet";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation discontinue";;
449;1976-12-00376;1449;0;;1976.12.10;"VERIA (39) 26.12.1976 T1";;;;;1;T;1;"50 - 59 ans";H;;;;;;"3. Cadres et professions intellectuelles superieures";;;;;;;;;;;;;;;;;;;;O;4498;;1;1976309128;76300482;;;1395;1;;1;;;;1976;12;26;"1976-12-26 12:00:00";;;;;43200;;;7m;;;VERIA;39160;39;;;;;;;Ciel;46.5;5.4;0.0;;"Territoires artificialises - Zones urbanisees";;;;;270.00;;;"altitude de 400 e 700 metres";;;;;90.00;;"Courbe - Arabesques (boucles)";;;;;Inconnu;;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objet unique";;Rouge;;Inconnue;;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
449;1976-12-00376;1450;0;;1976.12.11;"VERIA (39) 26.12.1976 T2";;;;;2;T;2;;F;;;;;;"82. Inactifs divers (autres que retraites)";;;;;;;;;;;;;;;;;;;;O;4499;;2;1976309128;76300482;;;1396;1;;1;;;;1976;12;26;"1976-12-26 20:15:00";20:15;;;20:15:00;0;;;;;;VERIA;39160;39;FR;;;;;;Ciel;46.5;5.4;0.0;;"Territoires artificialises - Zones urbanisees";;;;;90.00;;;;;;;;0.00;;"Courbe - Arabesques (boucles)";;;;;Lente;;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
452;1977-01-00377;1509;0;;1977.01.29;"CHATEAUDOUBLE (26) 01.01.1977 T1";;;"Un automobiliste de 47 ans est alerte par sa femme T2 qui lui indique un objet tres lumineux qui grossit e vue d'il. le temoin n'y prete pas attention e l'aller mais s'arrete au retour e l'endroit oe sa femme l'avait alerte. le temoin arrete son moteur et la radio.

Il prend pour repere le haut de sa portiere et voit entre 200 et 400m un objet lumineux (qui emet un eclairage mat qui inonde le sol sur un rayon de 150 e 200m) il est  immobile e 150 ou 200 m d'altitude. l'observation dure entre 8 e 10 min le temoin fait des appels de phares. l'objet se deplace soudainement vers le sud e tres grande vitesse en decrivant une courbe  et disparait dans le ciel sous la forme d'une etoile lumineuse.
Le faisceaux lumineux etait de forme arrondie. Les contours du point central de la source etaient de couleur verdetre. Le temoin pense qu'il etait de forme ronde
Le T3 n'a rien vu comme trace dans son champ et n'a pas remarque de perturbations mais a fait une obs similaire un an avant";1;1;T;1;;H;VALENCE;26000;26;FR;;"3. Cadres et professions intellectuelles superieures";;;;;;;;;non;"Dans mon vehicule je n'ai pas ete incommode mais j'etais glace par ce que je voyais. Par contre le 2 janvier 1977 j'ai eu mal aux yeux, et mon epouse a ressenti le meme phenomene.";;;;;;;;;;O;4486;;1;1977309122;77300272;;;1448;1;;1;;;;1977;01;01;"1977-01-01 19:37:30";19:30/19:45;;;19:37:30;450;;;;00:8/00:10;"< 10 mn";CHATEAUDOUBLE;26120;26;FR;;;;;"au dessus d'un champ legerement sureleve par rapport e la chaussee";"Paysage Rural";44.9;5.1;0.0;"Route CD";"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;"<b>5 Trajets</b>";19:30;;234.00;"a gauche au dessus d'un champ legerement sureleve par rapport e la chaussee";;"altitude de 150 e 200 metres";200/400m;"<1000m (eloignee)";373;;;immobile;"Stationnaire, Immobile";"immobile puis depart en courbe ";"Stationnaire ; ";;;"Nulle, Immobile, Stationnaire";NP;;;;"Emotion - Curiosite, Interet - Actif";1;;Direct;;aucun;conduit;Inconnu;NP;1;NP;;arrondi;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objet unique";"les contours du points central de la source lumineuse etaient verdetre";"Mat, Plastique";"eclairage mat tres puissant ";"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";NP;NP;Inconnu;Inconnu;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;Courbe;;;;;Fulgurante;;;;;"Emotion - Autre";;"3D - 2 axes de symetrie - Ovoede";;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;20:00;;234.00;Sud;;NP;;;;;"vers le sud";;;;;;;;;;;;0;"le PAN";;;;;;;;;;;;;;;;;;;;;;NP;1;"Un seul";;;;;"Observation en continu";;aucun
452;1977-01-00377;1510;0;;1977.01.30;"CHATEAUDOUBLE (26) 01.01.1977 T2";;;"Le temoin passagere de 42 ans en voiture remarque e 19h15 en direction du Sud une etoile tres brillante qui semblait grossir progressivement. cela l'intrique car le ciel est couvert et qu'il n'y a avait aucune etoile. elle observe avec T1 cet objet immobile durant une minute. puis ils sont alles e Combovin pour repartir vers 19h30.
dans une nappe de brouillard elle apereoit en direction du Sud e une distance evaluee e 500m une lumiere tres vive ressemblant e un gros soleil. ils s'arretent et le temoin decrit une boule de feu tres brillante de couleur tres blanche de forme arrondie au sommet . cet ""engin emet une lumiere qui illumine une grande surface de terrain sur un cercle d'une rayon de 100m env. pas de bruit entendu (radio et moteur eteints). au bout d'une minute l'engin a commence e s'elever et e diminuer de grosseur. puis au bout de 5 secondes la boule de feu est partie vers le sur comme une etoile filante";1;2;T;2;;F;VALENCE;26000;26;FR;;"82. Inactifs divers (autres que retraites)";;;;;;;;;non;;;;;;;;;;;O;4487;;2;1977309122;77300272;;;1449;1;;1;;;;1977;01;01;"1977-01-01 19:22:30";19:15/19:30;;;19:15:00;450;;;;;"< 5 mn";CHATEAUDOUBLE;26120;26;FR;;;;;ciel;Ciel;44.9;5.1;0.0;route;"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;"<b>5 Trajets</b>";19:30;;234.00;sud;30.00;"Dans le ciel ";"500m environ";"<1000m (eloignee)";373;;;"vers le sud ";"Stationnaire, Immobile";"stationnaire puis trajectoire ascendante";;;;"Nulle, Immobile, Stationnaire";"grossissant progressivement,une moitie de pleine Lune environ";;;;"Emotion - Curiosite, Interet - Actif";1;;Direct;;aucun;"passagere d'un vehicule";"Tres nuageux ou couvert";"couvert et nappe de brouillard";;"aucune etoile";;"etoile, lumiere, bol, arrondie au sommet";"3D - 2 axes de symetrie - Spherique, Boule";"etoile, lumiere, objet, engin";" Objet";"Objet unique";blanche;Blanc;"tres brillante";"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";NP;aucun;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;Montante;;;;;Fulgurante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;20:00;;234.00;Sud;5.00;"Je pense que l'engin etait pose sur une bosse et que si occupants il y avait, ils sont descendus dans le creux sur l'autre versant de la hauteur. ";;;;;;;;;;;;;;;;;0;"le PAN est parti vers le Sud";;;;" Phenomene";;;;;;;;;;;;;;;;;;NP;1;"Un seul";;;;"a fait une observation e l'aller (1 minute) puis au retour";"Observation discontinue";;aucun
452;1977-01-00377;1511;0;;1977.01.31;"CHATEAUDOUBLE (26) 01.01.1977 Ti3";;;"Le temoin avise par les gendarmes n'a pas releve de trace au sol dans le champ indique dont il est proprietaire. il n'a rien remarque d'anormal dans la soiree
Non Temoin pour cette observation mais a ete temoin d'un fait similaire un an avant (observation en dir du Sud d'un ""engin"" emettant une lumiere intense de couleur rougeetre de forme indefinie dans le ciel. observation durant quelques secondes. objet parti en dir de l'Est. l'objet volait au dessus du coteau Sainte-Marguerite sis  e500m e l'Est du domicile du temoin)
";2;3;Ti;3;;H;CHATEAUDOUBLE;26120;26;FR;;"69. Ouvriers agricoles";;;;;;;;;;;;;;;;;;;;O;4488;;3;1977309122;77300272;;;1450;1;;1;;;;1977;01;01;"1977-01-01 12:00:00";;;;;43200;;;;;;CHATEAUDOUBLE;26120;26;FR;;;;;;Ciel;44.9;5.1;0.0;;"Territoires agricoles";;;19H30;;;"NON PRECISE";;;;"<1000m (eloignee)";373;;;;Inconnu;;;;;Inconnu;"2 metres";;;;"Emotion - Curiosite, Interet - Passif";1;;;;;;Inconnu;;;;;;"Sans forme precise";;;"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;" Engin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;20H00;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
453;1977-01-00378;1494;0;;1977.01.14;"VILLEBOIS-LAVALETTE (16) 05.01.1977 T1";;;;;1;T;1;;F;;;;;;"54. Employes administratifs d'entreprise";;;;;;;;;;;;;;;;;;;;O;4466;;1;1977309112;77300486;;;1433;1;;1;;;;1977;01;05;"1977-01-05 18:30:00";18:30;;;18:30:00;0;;;15m;;;VILLEBOIS-LAVALETTE;16320;16;;;;;;;Ciel;45.5;0.3;0.0;;"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;;;;135.00;;;;;;;;315.00;;Inconnu;;;;;"Variable (acceleration, deceleration, etc.) (valeur conservee pour compatibilite: utiliser la nature de la trajectoire)";voiture;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Ovoede";;" Objet";"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Orange, feu";;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
453;1977-01-00378;1495;0;;1977.01.15;"VILLEBOIS-LAVALETTE (16) 05.01.1977 T2";;;;;2;T;2;;F;;;;;;"54. Employes administratifs d'entreprise";;;;;;;;;;;;;;;;;;;;O;4467;;2;1977309112;77300486;;;1434;1;;1;;;;1977;01;05;"1977-01-05 18:30:00";18:30;;;18:30:00;0;;;15m;;;VILLEBOIS-LAVALETTE;16320;16;;;;;;;Ciel;45.5;0.3;0.0;;"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;;;;135.00;;;;;;;;315.00;;Inconnu;;;;;Rapide;voiture;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
454;1977-01-00379;1493;0;;1977.01.13;"MESNIL-LE-ROI (LE) (78) 08.01.1977";;;;;1;T;;"30 - 39 ans";F;;;;;;"82. Inactifs divers (autres que retraites)";;;;;;;;;;;;;;;;;;;;O;4465;;1;1977309111;77300599;;;1432;1;;1;;;;1977;01;08;"1977-01-08 20:50:00";20:50;;;20:50:00;0;;;30s;;;"MESNIL-LE-ROI (LE)";78600;78;;;;;;;"Paysage Urbain";48.9;2.1;0.0;;"Territoires artificialises - Zones urbanisees";;;;;;;;"altitude de 20 metres";;;;;180.00;;Descendante;;;;;Inconnu;;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;;;" Objet";"Objet unique";;Blanc;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
455;1977-01-00380;1491;0;;1977.01.11;"MAYET (72) 10.01.1977 T1";;;;;1;T;1;"60 - 69 ans";H;;;;;;"3. Cadres et professions intellectuelles superieures";;;;;;;;;;;;;;;;;;;;O;4463;;1;1977309110;77300271;;;1430;1;;1;;;;1977;01;10;"1977-01-10 20:45:00";20:45;;;20:45:00;0;;;;;;MAYET;72360;72;;;;;;;Ciel;47.8;0.3;0.1;;"Territoires artificialises - Zones urbanisees";;;;;135.00;;;"40 degres";;;79;;90.00;;"Lineaire ou Rectiligne";;;;;Inconnu;;"0.04 < x < 0.1e ou ""Tres petite/Minuscule""";;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"1D - Ponctuel (point)";;" Objet";"Objets multiples";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;;;;;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;"De 1 e 10";;;;;"Observation en continu";;
455;1977-01-00380;1492;0;;1977.01.12;"MAYET (72) 10.01.1977 T2";;;;;2;T;2;"60 - 69 ans";F;;;;;;"5. Employes";;;;;;;;;;;;;;;;;;;;O;4464;;2;1977309110;77300271;;;1431;1;;1;;;;1977;01;10;"1977-01-10 20:50:00";20:50;;;20:50:00;0;;;;;;MAYET;72360;72;;;;;;;Ciel;47.8;0.3;0.1;;"Territoires artificialises - Zones urbanisees";;;;;135.00;;;"40 degres";;;79;;180.00;;"Lineaire ou Rectiligne";;;;;Rapide;;"0.04 < x < 0.1e ou ""Tres petite/Minuscule""";;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Soleil ou Nuit claire";;;;;;"1D - Ponctuel (point)";;" Objet";"Objets multiples";;;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;;;;;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;"De 1 e 10";;;;;"Observation en continu";;
455;1977-01-00380;1484;0;;1977.01.04;"RICHE (LA) (37) 10.01.1977 T1";;;;;1;T;1;"40 - 49 ans";F;;;;;;"3. Cadres et professions intellectuelles superieures";;;;;;;;;;;;;;;;;;;;O;4456;;1;1977309108;77300484;;;1423;1;;1;;;;1977;01;10;"1977-01-10 21:00:00";21:00;;;21:00:00;0;;;35m;;;"RICHE (LA)";37520;37;;;;;;;Ciel;47.4;0.7;0.0;;"Territoires artificialises - Zones urbanisees";;;;;180.00;;;;;;48;;0.00;;Courbe;;;;;Rapide;;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Tres nuageux ou couvert";;;;;;;;" Objet";"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
455;1977-01-00380;1485;0;;1977.01.05;"RICHE (LA) (37) 10.01.1977 T2";;;;;2;T;2;"20 - 29 ans";F;;;;;;"82. Inactifs divers (autres que retraites)";;;;;;;;;;;;;;;;;;;;O;4457;;2;1977309108;77300484;;;1424;1;;1;;;;1977;01;10;"1977-01-10 21:15:00";21:15;;;21:15:00;0;;;20m;;;"RICHE (LA)";37520;37;;;;;;;Ciel;47.4;0.7;0.0;;"Territoires artificialises - Zones urbanisees";;;;;;;;;;;48;;270.00;;"Stationnaire, Immobile";;;;;"Variable (acceleration, deceleration, etc.) (valeur conservee pour compatibilite: utiliser la nature de la trajectoire)";ballon;;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Tres nuageux ou couvert";;;;;;"3D - 2 axes de symetrie - Ovoede";;" Phenomene";"Objet unique";;Rouge;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;;;;;" Objet";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
457;1977-01-00382;1505;0;;1977.01.25;"BAZOGE (LA) (72) 14.01.1977";;;;;1;T;;"30 - 39 ans";F;;;;;;"5. Employes";;;;;;;;;;;;;;;;;;;;O;4479;;1;1977309117;77700517;;;1444;1;;1;;;;1977;01;14;"1977-01-14 18:40:00";18:40-21:30;;;18:40:00;0;;;170m;;;"BAZOGE (LA)";72650;72;;;;;;;Ciel;48.1;0.2;0.0;;"Territoires artificialises - Zones urbanisees";;;;;90.00;;;;;;;;270.00;;Inconnu;;;;;Inconnu;"phare de voiture";;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Objet";"Objet unique";;"Jaune, Ambre";;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation discontinue";;
